movie_ID,title,rating,genres,poster_path
231,Megamind vs. the Doom Syndicate,5.029,Animation|Comedy|Sci-Fi,Megamind vs. the Doom Syndicate.jpg
232,Wonder Woman 1984,6.441,Action|Adventure|Fantasy,Wonder Woman 1984.jpg
233,Brightburn,6.129,Horror|Sci-Fi|Thriller|Mystery,Brightburn.jpg
234,Justice League: Crisis on Infinite Earths Part Two,6.815,Animation|Sci-Fi|Action,Justice League_ Crisis on Infinite Earths Part Two.jpg
235,Exhuma,7.3,Mystery|Horror|Thriller,Exhuma.jpg
236,Bionic,5.685,Sci-Fi|Action|Adventure,Bionic.jpg
237,Creation of the Gods I: Kingdom of Storms,7.066,Action|Fantasy|War,Creation of the Gods I_ Kingdom of Storms.jpg
238,Uncut Gems,7.152,Drama|Thriller|Crime,Uncut Gems.jpg
239,Last Summer,5.774,Drama|Thriller,Last Summer.jpg
240,Fargo,7.862,Crime|Drama|Thriller,Fargo.jpg
241,Free Guy,7.507,Comedy|Adventure|Sci-Fi,Free Guy.jpg
242,Garfield,5.705,Animation|Comedy|Children,Garfield.jpg
243,The Dry,6.774,Crime|Thriller|Mystery,The Dry.jpg
244,SPY x Family CODE: White,6.686,Animation|Comedy|Adventure|Action,SPY x Family CODE_ White.jpg
245,Anyone But You,7.058,Romance|Comedy,Anyone But You.jpg
246,The Layover,5.382,Comedy|Romance,The Layover.jpg
247,The Irishman,7.607,Crime|Drama|History,The Irishman.jpg
248,Venom: The Last Dance,0.0,Action|Sci-Fi|Adventure,Venom_ The Last Dance.jpg
249,Predator 2,6.283,Sci-Fi|Action|Thriller,Predator 2.jpg
250,Hellraiser,6.885,Horror|Thriller|Fantasy,Hellraiser.jpg
251,Float,6.909,Romance|Drama,Float.jpg
252,John Wick: Chapter 4,7.74,Action|Thriller|Crime,John Wick_ Chapter 4.jpg
253,Terminator Genisys,5.94,Sci-Fi|Action|Thriller|Adventure,Terminator Genisys.jpg
254,Return of the Jedi,7.894,Adventure|Action|Sci-Fi,Return of the Jedi.jpg
255,Poor Things,7.8,Sci-Fi|Romance|Comedy,Poor Things.jpg
256,Bad Boys,6.8,Action|Comedy|Crime|Thriller,Bad Boys.jpg
257,Rocky IV,7.086,Drama,Rocky IV.jpg
258,Eyes Wide Shut,7.5,Drama|Thriller|Mystery,Eyes Wide Shut.jpg
259,American Beauty,8.019,Drama,American Beauty.jpg
260,Scream,7.423,Crime|Horror|Mystery,Scream.jpg
261,Hellraiser,6.885,Horror|Thriller|Fantasy,Hellraiser.jpg
262,Return of the Jedi,7.894,Adventure|Action|Sci-Fi,Return of the Jedi.jpg
263,Passengers,6.945,Drama|Romance|Sci-Fi,Passengers.jpg
264,Hacksaw Ridge,8.194,Drama|History|War,Hacksaw Ridge.jpg
265,Spider-Man: Across the Spider-Verse,8.363,Animation|Action|Adventure|Sci-Fi,Spider-Man_ Across the Spider-Verse.jpg
266,Bad Boys,6.8,Action|Comedy|Crime|Thriller,Bad Boys.jpg
267,Back to Black,6.726,History|Drama|Musical,Back to Black.jpg
268,Rocky IV,7.086,Drama,Rocky IV.jpg
269,Eyes Wide Shut,7.5,Drama|Thriller|Mystery,Eyes Wide Shut.jpg
270,The Emoji Movie,5.448,Animation|Children|Comedy,The Emoji Movie.jpg
271,American Beauty,8.019,Drama,American Beauty.jpg
272,Justice League: Crisis on Infinite Earths Part Two,6.815,Animation|Sci-Fi|Action,Justice League_ Crisis on Infinite Earths Part Two.jpg
273,The Gigolo,4.833,Romance|Drama|Comedy,The Gigolo.jpg
274,Scream,7.423,Crime|Horror|Mystery,Scream.jpg
275,Gemini Man,6.297,Sci-Fi|Action|Thriller,Gemini Man.jpg
276,Vamp,5.871,Comedy|Horror,Vamp.jpg
277,Your Fault,0.0,Drama|Romance,Your Fault.jpg
278,Slasher,4.0,Horror|Comedy|Drama,Slasher.jpg
279,Gold,6.6,Adventure|Drama|Thriller,Gold.jpg
280,Thor: Love and Thunder,6.465,Fantasy|Action|Comedy,Thor_ Love and Thunder.jpg
281,Dumb and Dumber,6.626,Comedy,Dumb and Dumber.jpg
282,Blue Velvet,7.626,Crime|Drama|Mystery|Thriller,Blue Velvet.jpg
283,Passengers,6.945,Drama|Romance|Sci-Fi,Passengers.jpg
284,Kong: Skull Island,6.54,Action|Adventure|Fantasy,Kong_ Skull Island.jpg
285,Highlander,6.896,Adventure|Action|Fantasy,Highlander.jpg
286,Elemental,7.658,Animation|Comedy|Children|Fantasy|Romance,Elemental.jpg
